"","Acciaiuoli","Albizzi","Barbadori","Bischeri","Castellani","Ginori","Guadagni","Lamberteschi","Medici","Pazzi","Peruzzi","Pucci","Ridolfi","Salviati","Strozzi","Tornabuoni"
"Acciaiuoli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albizzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbadori",0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0
"Bischeri",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"Castellani",0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"Ginori",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Guadagni",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Lamberteschi",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
"Medici",0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
"Pazzi",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Peruzzi",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"Pucci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ridolfi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salviati",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Strozzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tornabuoni",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
